run_id,mesh_file,percent_bell,theta_n_deg,theta_e_deg,chord_deg,length_mm,Rt_mm,Re_mm,eps,Pc_bar,Tc_K,Pamb_bar,gamma,R_specific_JkgK,MW_gmol,mdot_kgs,Cf_theory,Pe_bar_theory,Me_exit_theory,Cf_cfd,thrust_N,Isp_cfd_s,peak_heatflux_Wm2,exit_Mach_cfd,converged,iterations,notes
run_01,meshes/run_01.msh,0.672260,26.4741,15.5044,22.0654,146.898,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_02,meshes/run_02.msh,0.733026,28.6149,8.8065,20.3432,152.604,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_03,meshes/run_03.msh,0.662389,28.0011,10.6325,22.3722,145.971,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_04,meshes/run_04.msh,0.865496,27.2650,10.6419,17.3682,165.043,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_05,meshes/run_05.msh,0.743561,23.5874,10.2818,20.0708,153.593,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_06,meshes/run_06.msh,0.877728,29.4111,9.7655,17.1359,166.192,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_07,meshes/run_07.msh,0.751724,23.1977,13.9312,19.8646,154.360,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_08,meshes/run_08.msh,0.656455,29.8078,14.1618,22.5605,145.413,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_09,meshes/run_09.msh,0.882216,28.3994,9.1412,17.0522,166.613,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_10,meshes/run_10.msh,0.689562,26.4877,15.2845,21.5470,148.522,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_11,meshes/run_11.msh,0.792552,25.2065,10.0464,18.8922,158.194,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_12,meshes/run_12.msh,0.836295,27.0211,13.0161,17.9485,162.301,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_13,meshes/run_13.msh,0.638701,26.7007,8.4728,23.1428,143.746,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_14,meshes/run_14.msh,0.613302,27.4006,8.0446,24.0279,141.361,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_15,meshes/run_15.msh,0.842997,20.2695,13.1114,17.8120,162.931,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_16,meshes/run_16.msh,0.721952,27.0155,15.9231,20.6373,151.564,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_17,meshes/run_17.msh,0.603175,27.3837,12.2134,24.3991,140.410,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_18,meshes/run_18.msh,0.649926,26.0306,14.7560,22.7713,144.800,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_19,meshes/run_19.msh,0.892948,27.3680,12.0554,16.8552,167.621,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_20,meshes/run_20.msh,0.814313,25.9174,11.4361,18.4109,160.237,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_21,meshes/run_21.msh,0.853316,20.7504,13.7159,17.6057,163.899,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_22,meshes/run_22.msh,0.762350,25.9561,12.6524,19.6023,155.357,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_23,meshes/run_23.msh,0.784408,21.1113,9.5918,19.0787,157.429,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_24,meshes/run_24.msh,0.695633,29.2361,14.5577,21.3707,149.092,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_25,meshes/run_25.msh,0.621466,25.8344,8.7845,23.7364,142.128,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_26,meshes/run_26.msh,0.807186,20.2998,11.8235,18.5659,159.568,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_27,meshes/run_27.msh,0.704430,27.3472,11.5562,21.1200,149.918,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_28,meshes/run_28.msh,0.825936,22.4840,15.1555,18.1635,161.328,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_29,meshes/run_29.msh,0.719773,29.4563,13.4074,20.6962,151.359,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
run_30,meshes/run_30.msh,0.775381,22.5822,11.0664,19.2896,156.581,14.1678,39.3295,7.7060,50.0,3470.09,1.013,1.13353,398.573,20.8606,1.70264,1.56351,0.9373,3.0423,,,,,,,,
