x[m],r[m]
-8.376929964739221468e-02,4.007268578569957163e-02
-7.931677900453670826e-02,4.007268578569957163e-02
-7.486425836168120185e-02,4.007268578569957163e-02
-7.041173771882569543e-02,4.007268578569957163e-02
-6.595921707597017514e-02,4.007268578569957163e-02
-6.150669643311466872e-02,4.007268578569957163e-02
-5.705417579025916230e-02,4.007268578569957163e-02
-5.260165514740365589e-02,4.007268578569957163e-02
-4.814913450454814253e-02,4.007268578569957163e-02
-4.369661386169263612e-02,4.007268578569957163e-02
-4.203834489762077464e-02,3.891155335667724480e-02
-4.038007593354892011e-02,3.775042092765493185e-02
-3.872180696947705864e-02,3.658928849863260502e-02
-3.706353800540519716e-02,3.542815606961027819e-02
-3.540526904133333569e-02,3.426702364058795830e-02
-3.374700007726147422e-02,3.310589121156563147e-02
-3.208873111318961968e-02,3.194475878254331158e-02
-3.043046214911775821e-02,3.078362635352099169e-02
-2.877219318504589674e-02,2.962249392449866833e-02
-2.711392422097403873e-02,2.846136149547634497e-02
-2.545565525690218073e-02,2.730022906645402508e-02
-2.379738629283031925e-02,2.613909663743170173e-02
-2.213911732875845778e-02,2.497796420840937837e-02
-2.048084836468659978e-02,2.381683177938705848e-02
-1.882257940061474177e-02,2.265569935036473512e-02
-1.716431043654288030e-02,2.149456692134241176e-02
-1.550604147247101883e-02,2.033343449232008840e-02
-1.384777250839916082e-02,1.917230206329776851e-02
-1.218950354432730109e-02,1.801116963427544515e-02
-1.191534777657419011e-02,1.782238608561603418e-02
-1.163826880260485953e-02,1.763791967831963153e-02
-1.135833459852829755e-02,1.745781566774584972e-02
-1.107561384093043617e-02,1.728211823902240513e-02
-1.079017589002564427e-02,1.711087049620512932e-02
-1.050209077264050578e-02,1.694411445170319885e-02
-1.021142916503405343e-02,1.678189101597219249e-02
-9.918262375558683716e-03,1.662423998747747378e-02
-9.622662327165992791e-03,1.647120004293037634e-02
-9.324701539761837132e-03,1.632280872779962380e-02
-9.024453112414933253e-03,1.617910244710024301e-02
-8.721990705423381812e-03,1.604011645646227779e-02
-8.417388522243508461e-03,1.590588485348148201e-02
-8.110721291285432830e-03,1.577644056935412209e-02
-7.802064247579855970e-03,1.565181536079793614e-02
-7.491493114320576553e-03,1.553203980226120634e-02
-7.179084084287221806e-03,1.541714327842189092e-02
-6.864913801152787605e-03,1.530715397697867200e-02
-6.549059340680550047e-03,1.520209888173560189e-02
-6.231598191814986289e-03,1.510200376598215544e-02
-5.912608237671315541e-03,1.500689318617024620e-02
-5.592167736428348308e-03,1.491679047588972962e-02
-5.270355302129310290e-03,1.483171774014398550e-02
-4.947249885395367183e-03,1.475169584992684288e-02
